,Date,Days Feeling
150,2021-05-31,-0.9991945624351501
151,2021-06-01,0.787220299243927
152,2021-06-02,0.9646961688995361
153,2021-06-03,-0.997200608253479
154,2021-06-04,-0.999627947807312
155,2021-06-05,-0.9658347368240356
156,2021-06-06,-0.9634118676185608
157,2021-06-07,0.9515014290809631
158,2021-06-08,-0.9996575117111206
159,2021-06-09,-0.9918031096458435
160,2021-06-10,-0.991392970085144
161,2021-06-11,0.7352651953697205
162,2021-06-12,-0.9898363947868347
163,2021-06-13,-0.6446942090988159
164,2021-06-14,0.9782058000564575
165,2021-06-15,-0.9541894793510437
166,2021-06-16,-0.9990321397781372
167,2021-06-17,0.9324426054954529
168,2021-06-18,-0.9974599480628967
169,2021-06-19,0.954684317111969
170,2021-06-20,0.9556776881217957
171,2021-06-21,-0.9996826648712158
