Date,neg,neu,pos,compound
2017-09-26,0.01333,0.77767,0.09789,0.13629
2017-09-27,0.09462,0.66225,0.11812,0.03254
2017-09-28,0.06275,0.751,0.06125,0.03503
2017-09-29,0.12408,0.74425,0.04833,-0.10982
2017-09-30,0.076,0.66457,0.11657,0.10364
2017-10-01,0.0651,0.7316,0.1033,0.09911
2017-10-02,0.02086,0.78414,0.05214,0.04959
2017-10-03,0.0,0.83767,0.05122,0.11291
2017-10-04,0.07433,0.692,0.12256,0.08119
2017-10-05,0.03764,0.80427,0.06709,0.03851
2017-10-06,0.08417,0.72667,0.10592,0.02876
2017-10-07,0.07137,0.78112,0.0225,-0.09303
2017-10-08,0.12,0.63778,0.13111,0.07427
2017-10-09,0.0633,0.7922,0.0445,-0.02662
2017-10-10,0.01738,0.75025,0.10738,0.11638
2017-10-11,0.08578,0.76933,0.03389,-0.15863
2017-10-12,0.0476,0.8114,0.041,-0.02145
2017-10-13,0.1119,0.7062,0.0819,-0.07648
2017-10-14,0.0,0.778,0.07914,0.14574
2017-10-15,0.0,0.812,0.02133,0.04933
2017-10-16,0.07686,0.65886,0.12157,0.04574
2017-10-17,0.01517,0.7325,0.08567,0.15625
2017-10-18,0.0755,0.6745,0.0,-0.09545
2017-10-19,0.072,0.82608,0.01858,-0.07389
2017-10-20,0.09637,0.69825,0.08038,-0.0629
2017-10-21,0.03067,0.68933,0.11333,0.11255
2017-10-22,0.11083,0.7225,0.0,-0.10448
2017-10-23,0.0,0.0,0.0,0.0
2017-10-24,0.03029,0.56114,0.26571,0.37776
2017-10-25,0.11357,0.72414,0.01943,-0.20676
2017-10-26,0.01856,0.83411,0.03622,-0.00204
2017-10-27,0.07391,0.75882,0.07636,0.02909
2017-10-28,0.07255,0.75473,0.08182,0.01651
2017-10-29,0.0262,0.698,0.076,0.12734
2017-10-30,0.01008,0.81367,0.09292,0.11891
2017-10-31,0.0,0.81786,0.03929,0.0837
2017-11-01,0.01538,0.76375,0.09588,0.14562
2017-11-02,0.03773,0.74318,0.12818,0.1311
2017-11-03,0.065,0.658,0.11033,0.05742
2017-11-04,0.07783,0.73333,0.02217,-0.1201
2017-11-05,0.07775,0.71188,0.0855,0.01544
2017-11-06,0.06862,0.77012,0.03625,-0.08165
2017-11-07,0.065,0.71171,0.08043,0.00099
2017-11-08,0.083,0.76638,0.02562,-0.0634
2017-11-09,0.02945,0.802,0.07764,0.08094
2017-11-10,0.0244,0.7772,0.0984,0.13232
2017-11-11,0.01329,0.65186,0.192,0.35924
2017-11-12,0.02864,0.77691,0.10355,0.16933
2017-11-13,0.05964,0.78236,0.067,0.01195
2017-11-14,0.0863,0.76,0.0537,-0.03502
2017-11-15,0.0,0.84212,0.03288,0.07375
2017-11-16,0.0947,0.7416,0.0638,0.00591
2017-11-17,0.01191,0.83245,0.06473,0.11528
2017-11-18,0.05489,0.65967,0.17422,0.1468
2017-11-19,0.06191,0.81745,0.02982,-0.07235
2017-11-20,0.02244,0.79756,0.06889,0.05841
2017-11-21,0.1725,0.6859,0.0416,-0.20646
2017-11-22,0.092,0.78555,0.03155,-0.08772
2017-11-23,0.013,0.87255,0.02355,0.04626
2017-11-24,0.02156,0.79433,0.073,0.094
2017-11-25,0.04117,0.7165,0.07567,0.07235
2017-11-26,0.16271,0.62129,0.07314,-0.14607
2017-11-27,0.01718,0.76845,0.12345,0.1462
2017-11-28,0.0283,0.8369,0.0348,0.02516
2017-11-29,0.06264,0.78327,0.06327,0.02134
2017-11-30,0.05964,0.76727,0.08218,0.0646
2017-12-01,0.0279,0.7874,0.0847,0.04149
2017-12-02,0.0451,0.7995,0.0554,0.08186
2017-12-03,0.01636,0.75364,0.13909,0.15609
2017-12-04,0.0,0.86327,0.04582,0.06738
2017-12-05,0.03355,0.75382,0.12173,0.12452
2017-12-06,0.04564,0.79109,0.07236,0.05535
2017-12-07,0.051,0.77646,0.09562,0.03788
2017-12-08,0.056,0.82027,0.03282,-0.06292
2017-12-09,0.10518,0.78727,0.01664,-0.19479
2017-12-10,0.08009,0.71664,0.11236,0.02798
2017-12-11,0.0293,0.8189,0.0519,0.01893
2017-12-12,0.11633,0.70358,0.09667,-0.01764
2017-12-13,0.0868,0.7726,0.0406,-0.10034
2017-12-14,0.0,0.90909,0.0,0.0
2017-12-15,0.06836,0.80991,0.03082,-0.0714
2017-12-16,0.06682,0.75055,0.09173,0.09706
2017-12-17,0.0,0.0,0.0,0.0
2017-12-18,0.0,0.86845,0.04064,0.07733
2017-12-19,0.10558,0.67842,0.13267,0.04408
2017-12-20,0.023,0.83136,0.05473,0.02383
2017-12-21,0.01392,0.90275,0.0,-0.00856
